Nome,"Quantidade Total de Clientes",CNPJ,"Satisfação Empregado","Quantidade Total de Reclamacoes",Segmento,Indice,"Satisfação Salário"
"BNP PARIBAS",2211990.5714285714,1522368,63.0,4624.0,S3,"125,22",3.4
"JP MORGAN CHASE",2908.0,33172537,76.5,9.0,S3," ",3.9
SANTANDER,5.6422443428571425E7,90400888,65.0,45423.0,S1,"21,05",4.0
BRADESCO,1.0075226757142857E8,60746948,66.0,60835.0,S1,"21,64",4.3
VOTORANTIM,1.727523557142857E7,59588111,79.0,4529.0,S2,"13,05",3.9499999999999997
CITIBANK,18253.85714285714,33479023,68.0,97.0,S2," ",3.8
ITAU,9.033923071428572E7,60872504,82.0,43280.0,S1,"12,26",4.6
ORIGINAL,2.5494336285714287E7,92894922,53.0,10168.0,S3,"14,35",4.0
PAN,8907890.0,59285411,79.0,3953.0,S3,"245,28",4.6
"BANCO DO NORDESTE DO BRASIL S.A.",8966108.714285715,7237373,83.0,490.0,S2," ",4.2
"BANCO FIBRA S.A.",163767.16666666666,58616418,84.0,17.0,S3," ",4.2
"BOFA MERRILL LYNCH",4732.0,62073200,61.0,7.0,S3," ",3.8
MERCEDES-BENZ,19882.714285714286,60814191,53.5,35.0,S3," ",4.0
"SOCIETE GENERALE",528.0,61533584,55.0,6.0,S3," ",3.3
BANRISUL,5107234.571428572,92702067,59.0,3689.0,S2,"14,72",4.1
"BTG PACTUAL",766998.0,30306294,73.0,133.0,S1," ",4.4
"CREDIT SUISSE",5997.0,33987793,34.0,4.0,S2," ",3.6
SAFRA,4705216.714285715,58160789,47.0,9914.0,S2,"103,36",3.8
BMG,9491476.57142857,61186680,63.0,12161.0,S3,"101,86",4.2
ALFA,423848.4285714286,60770336,47.0,480.0,S3," ",3.8
PINE,33519.42857142857,62144175,50.0,29.0,S3," ",3.9
SICREDI,6438476.0,1181521,80.0,18.0,S3," ",4.1
